name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case diameter,price
Patek Philippe Aquanaut,Automatic,White gold,2022,Very good,5968G-010,"Original box, original papers","France, Paris",42.2 mm,"$128,059"
Patek Philippe Calatrava,Manual winding,Yellow gold,1964,Good,3410,"No original box, no original papers","United States of America, New York, New York",34.5 MM mm,"$11,500"
Patek Philippe Calatrava,Automatic,Rose gold,2023,Unworn,7234R-001,"Original box, original papers","United Kingdom, Bowdon",37.5 mm,"$39,035"
Patek Philippe Aquanaut,Quartz,Steel,1999,Very good,5064,"No original box, no original papers","Switzerland, Geneva",36 mm,"$28,166"
Patek Philippe Annual Calendar,Automatic,Yellow gold,2004,Very good,5036/1J,"No original box, no original papers","United States of America, New York, Hartsdale",37 mm,"$36,000"
Patek Philippe Perpetual Calendar,-,White gold,2012,Very good,5140G-001,"No original box, no original papers","United States of America, New Jersey, Chatham",37 mm,"$55,000"
Patek Philippe Calatrava,Automatic,Yellow gold,1970,Fair,Patek Philippe 3561,"Original box, no original papers","United Kingdom, London",33.5 mm,"$21,505"
Patek Philippe Calatrava,Automatic,White gold,2024,Unworn,4997/200G-001,"Original box, original papers","United States of America, Florida, Miami",35 mm,Price on request
Patek Philippe,Quartz,Rose gold,2023,Unworn,7010R-013,"Original box, original papers","Spain, Madrid",32 mm,Price on request
Patek Philippe Aquanaut,Automatic,Steel,2023,Unworn,5167A-001,"Original box, original papers","United States of America, New York, New York",40 mm,"$63,245"
Patek Philippe Gondolo,Manual winding,Rose gold,2000,Unworn,5100R,"Original box, original papers","United Kingdom, London",-,"$49,526"
Patek Philippe World Time,Automatic,Rose gold,2022,Unworn,2022 Unworn Full Set - 5230R-001,"Original box, original papers","United Kingdom, Birmingham",38.5 mm,"$49,525"
Patek Philippe Calatrava,Manual winding,Yellow gold,1945,Good,565,"Original papers, no original box","United States of America, Illinois, Chicago",35 mm,"$26,327"
Patek Philippe Aquanaut,Quartz,Rose gold,2024,Very good,5269R-001,"Original box, original papers","United Kingdom, London",38.8 mm,"$95,794"
Patek Philippe Aquanaut,Automatic,Rose gold,-,Unworn,5261R,"Original box, original papers","United States of America, California, Los Angeles",40.5 mm,Price on request
Patek Philippe,Manual winding,White gold,1965,Very good,3519/1,"No original box, no original papers","Switzerland, Schweiz",18 mm,"$7,954"
Patek Philippe Calatrava,Automatic,Rose gold,1999,Good,5026R,"Original papers, no original box","Hong Kong, Tsim sha tsui",-,"$47,943"
Patek Philippe Travel Time,Manual winding,White gold,2007,Very good,5134G,"Original papers, no original box","Spain, Madrid",37 mm,"$27,839"
Patek Philippe Annual Calendar,Automatic,Rose gold,2014,Very good,5146R-001,"Original box, original papers","Australia, Sydney",39 mm,"$41,045"
Patek Philippe Annual Calendar,Automatic,Rose gold,-,Very good,5205R-010,"Original box, original papers","United States of America, New York, New York",40 mm,Price on request
Patek Philippe Annual Calendar,Automatic,Yellow gold,2005,Very good,5146J-010,"Original box, original papers","Germany, München",39 mm,"$42,293"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Platinum,2022,Very good,5270P-014,"Original box, original papers",UAE,41 mm,"$209,950"
Patek Philippe Calatrava,Automatic,Yellow gold,1972,Good,3590,"No original box, no original papers","The Netherlands, Amsterdam",35 mm,"$14,810"
Patek Philippe Calatrava,Manual winding,Yellow gold,2005,Very good,5196,"Original box, original papers","France, Paris",37 mm,"$28,106"
Patek Philippe Annual Calendar,Automatic,Rose gold,-,Very good,5396R,"Original box, original papers","United States of America, California, Newport Beach",38 mm,"$42,750"
Patek Philippe Annual Calendar Chronograph,Automatic,Steel,2023,Unworn,5905/1A-001,"Original box, original papers","South Korea, Busan",42 mm,"$71,986"
Patek Philippe Nautilus,Automatic,Steel,2011,Very good,5712/1A-001,"Original box, original papers","United States of America, New York, BROOKLYN",40 mm,"$97,000"
Patek Philippe Nautilus,Automatic,Rose gold,2023,Unworn,5990/1R-001,"Original box, original papers","Germany, Düsseldorf",40.5 mm,"$295,093"
Patek Philippe Annual Calendar Chronograph,Automatic,Steel,2016,Unworn,5960/1A-001,"Original box, original papers","Slovakia, Bratislava - Petržalka",40.5 mm,"$77,838"
Patek Philippe Aquanaut,Automatic,White gold,-,Fair,5168G-001,"Original box, original papers","Japan, Fukuoka Chuo-ku, Fukuoka",42.2 mm,"$98,336"
Patek Philippe Calatrava,Manual winding,Yellow gold,-,Good,3520DJ,"No original box, no original papers","Japan, Osaka-shi",32 mm,"$8,077"
Patek Philippe Aquanaut,Automatic,Rose gold,2022,New,5968R-001,"Original box, original papers","United States of America, Rhode Island, Newport",42 mm,"$135,000"
Patek Philippe Nautilus,Automatic,Rose gold,-,Unworn,5990/1R-001,"Original box, original papers","United States of America, New York, New York",40.5 mm,"$257,294"
Patek Philippe Calatrava,Automatic,Rose gold,2020,Very good,5524R-001,"Original box, original papers","Hong Kong, Hong Kong",42 mm,"$40,324"
Patek Philippe Gondolo,Manual winding,White gold,2007,Very good,5489G-001,"Original box, original papers","Austria, Salzburg",33 x 40 mm,"$15,590"
Patek Philippe Nautilus,Automatic,Steel,2021,Unworn,5712/1A-001,"Original box, original papers","United States of America, New York, New York",40 x 38 mm,"$135,000"
Patek Philippe Calatrava,Manual winding,Platinum,2016,Very good,5196p-001,"Original box, original papers","China, Yueyang",37 mm,"$35,414"
Patek Philippe Annual Calendar,Automatic,Platinum,-,Very good,5056P-001,"Original box, no original papers","United States of America, New York, New York",37 mm,"$40,000"
Patek Philippe Annual Calendar Chronograph,Automatic,Rose gold,2023,New,5905R-010,"Original box, original papers","United States of America, New York, New York",42 mm,"$89,500"
Patek Philippe Calatrava,Manual winding,White gold,-,Very good,4896G,"No original box, no original papers","Japan, Chuo-ku, Tokyo",33 mm,"$15,708"
Patek Philippe Annual Calendar,Automatic,White gold,-,-,4947G-001,"No original box, no original papers","United States of America, Texas, Austin",38 mm,Price on request
Patek Philippe Nautilus,Automatic,Rose gold,2015,Fair,5980/1R-001,"Original box, original papers","Canada, North Vancouver",40.5 mm,"$183,170"
Patek Philippe Golden Ellipse,Automatic,Yellow gold,-,Very good,3938,"Original box, no original papers","United States of America, Florida, Surfside",30 x 35 mm,"$22,880"
Patek Philippe Neptune,Automatic,Steel,1999,Very good,5085/1A-001,"Original box, original papers","Poland, Warszawa",37 x 43 mm,"$40,300"
Patek Philippe Calatrava,Automatic,White gold,-,Very good,5296G-001,"Original papers, no original box","Hong Kong, KOWLOON",38 mm,"$21,500"
Patek Philippe Calatrava,Automatic,Steel,2020,Unworn,6007A-001,"Original box, original papers","United States of America, New York, New York",40 mm,"$59,500"
Patek Philippe Nautilus,Automatic,Rose gold,2022,Unworn,5980/1R-001,"Original box, original papers","United States of America, New York, New York",40 mm,Price on request
Patek Philippe Nautilus,-,-,-,New,7010/1R-013,"Original box, original papers","United States of America, Florida, North Miami Beach",32 mm,"$82,950"
Patek Philippe Aquanaut,Automatic,White gold,2009,Very good,5069G-011,"Original box, original papers","Hong Kong, MONG KOK",35.2 mm,"$86,428"
Patek Philippe Annual Calendar,Automatic,Yellow gold,2011,Very good,4936J-001,"Original box, original papers","Hong Kong, MONG KOK",37 mm,"$33,888"
Patek Philippe World Time,Automatic,Rose gold,2021,Unworn,7130R-013,"Original box, original papers","Germany, Düsseldorf",36 mm,"$67,370"
Patek Philippe Celestial,Automatic,White gold,2007,Very good,5102G-001,"Original box, original papers","Italy, padova",-,"$272,822"
Patek Philippe Gondolo,Manual winding,White gold,-,Good,5124G-001,"No original box, no original papers","United States of America, New York, New York",-,"$15,400"
Patek Philippe Nautilus,Automatic,White gold,2005,New,3711,"Original box, original papers","Monaco, Monaco",42 mm,"$395,314"
Patek Philippe Nautilus,Automatic,Steel,-,Very good,5711,"Original box, original papers","United States of America, New York, Great Neck",27 mm,"$109,999"
Patek Philippe Nautilus,Quartz,Rose gold,2023,Very good,7010R-013,"Original box, original papers","United States of America, Florida, West Palm Beach",32 mm,"$58,500"
Patek Philippe Calatrava,Manual winding,-,-,Very good,5119R-001,"Original box, no original papers","Japan, Kobe city, Hyogo",36 mm,"$14,166"
Patek Philippe Annual Calendar,Automatic,Platinum,2011,Very good,5146P-001,"Original box, original papers","United States of America, New York, Great Neck",39 mm,"$39,999"
Patek Philippe Nautilus,Automatic,-,-,-,3710/1A,"Original box, original papers","United States of America, California, Beverly Hills",40 mm,"$70,720"
Patek Philippe Twenty~4,Quartz,Steel,2022,Unworn,4910/1200A-010,"Original box, original papers","United Kingdom, London",25.1 x 30 mm,"$13,652"
Patek Philippe Nautilus,Automatic,Gold/Steel,2022,Unworn,5980/1AR-001,"Original box, original papers","United Kingdom, Bishops Stortford",40.5 mm,"$138,087"
Patek Philippe Aquanaut,Quartz,Rose gold,2022,New,5269/200R,"Original box, original papers","United States of America, New York, New York",38.8 mm,"$77,000"
Patek Philippe Nautilus,Automatic,Platinum,1995,Very good,3800/1P,"Original papers, no original box","United Kingdom, London",37.5 mm,"$128,377"
Patek Philippe Nautilus,Automatic,Steel,2023,Unworn,5711/1A-014,"Original box, original papers","Spain, Madrid",40 mm,"$334,068"
Patek Philippe,Manual winding,-,-,Very good,973J-010,"Original box, original papers","United States of America, Florida, North Miami Beach",44 mm,"$14,385"
Patek Philippe,Automatic,Steel,2022,New,5980/1AR-001,"Original box, original papers","UAE, Al Wasl, Jumeira 1, Dubai",40.5 mm,Price on request
Patek Philippe Nautilus,Automatic,Steel,-,Very good,5800 / 1A-001,"Original box, original papers","United States of America, Illinois, BUFFALO GROVE",38 mm,"$80,000"
Patek Philippe Nautilus,Automatic,Steel,-,Fair,5711/1A-010,"Original box, original papers","Japan, Fukuoka Chuo-ku, Fukuoka",40 x 43 mm,"$129,804"
Patek Philippe Nautilus,Automatic,Steel,2007,Very good,5980/1A-001,"Original box, original papers","United States of America, Florida, West Palm Beach",40.5 x 44 mm,"$98,000"
Patek Philippe Nautilus,Automatic,Steel,2022,Unworn,7118/1A-001,"Original box, original papers","United States of America, Illinois, Springfield",35.2 mm,"$54,400"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Platinum,2023,Unworn,5271/11P-010,"Original box, original papers","United States of America, Florida, Miami",41 mm,Price on request
Patek Philippe Annual Calendar,Automatic,Rose gold,2024,New,5235/50R-001,"Original box, original papers","Cyprus, Nicosia",-,"$60,021"
Patek Philippe Nautilus,Automatic,Steel,1992,Good,3800/1,"Original box, original papers","Poland, Kraków",37 mm,"$55,678"
Patek Philippe Travel Time,Manual winding,Rose gold,2005,Unworn,4864R,"Original box, no original papers","France, Paris",29 mm,"$14,465"
Patek Philippe Nautilus,Automatic,Steel,1997,Very good,3800,"Original box, original papers","Switzerland, Geneva",36 mm,"$54,078"
Patek Philippe Nautilus,Automatic,Yellow gold,1992,Very good,3800,"Original box, original papers","Austria, Wien",37.5 mm,"$116,367"
Patek Philippe Calatrava,Manual winding,White gold,-,Very good,4897G-001,"Original box, original papers","Hong Kong, KOWLOON",33 x 38 mm,"$23,000"
Patek Philippe Complications,Automatic,Yellow gold,1996,Very good,5015,"Original papers, no original box","Canada, Concord",35 mm,"$25,963"
Patek Philippe Nautilus,Automatic,Steel,2012,Fair,5711/1A-011,"Original box, original papers","United States of America, Florida, Fort Lauderdale",40 x 38 mm,"$110,000"
Patek Philippe Nautilus,Automatic,Steel,2007,Very good,5711/1A,"Original box, original papers","Italy, Riccione",40 x 38 mm,"$112,336"
Patek Philippe Complications,Automatic,Rose gold,-,Very good,5055R-001,"Original box, original papers","Czech Republic, Praha 1",36 mm,"$34,409"
Patek Philippe Aquanaut,Automatic,Rose gold,-,New,5261R,"Original box, original papers","United States of America, Florida, Boca Raton",39.9 mm,"$199,888"
Patek Philippe,Manual winding,Rose gold,1960,Very good,3141,"No original box, no original papers","Germany, Buxtehude",22 x 28 mm,"$6,123"
Patek Philippe,Manual winding,Yellow gold,1930,Good,-,"No original box, no original papers","Italy, Napoli - San Giorgio Cremano",26 mm,"$5,567"
Patek Philippe Travel Time,Manual winding,Yellow gold,2004,Very good,5134J,"Original box, original papers","Greece, Athens",37 mm,"$22,260"
Patek Philippe Annual Calendar Chronograph,Automatic,Platinum,-,-,5905P-010,"No original box, no original papers","United States of America, Texas, Austin",42 mm,Price on request
Patek Philippe Calatrava,Manual winding,Yellow gold,2007,Good,4959j-oo1,"Original box, original papers","Germany, Simmerath",31 x 7 mm,"$17,817"
Patek Philippe Golden Ellipse,Automatic,White gold,1979,Very good,3605/1,"No original box, no original papers","Belgium, KNOKKE-LE-ZOUTE",33 x 38 mm,"$38,362"
Patek Philippe Chronograph,Manual winding,Yellow gold,2011,Very good,5170J-001,"Original box, original papers","Sweden, Stockholm",39 mm,Price on request
Patek Philippe Gondolo,Manual winding,Rose gold,2021,Unworn,7041R-001,"Original papers, no original box","United States of America, Georgia, ATLANTA",30 x 33.8 mm,"$39,000"
Patek Philippe Nautilus,Automatic,Rose gold,2017,Very good,5711/1R-001,"Original box, original papers","United States of America, Florida, Miami",40 mm,"$450,000"
Patek Philippe Annual Calendar Chronograph,Automatic,Platinum,2015,Very good,5905P-001,"Original box, original papers","France, Paris",42 mm,"$91,201"
Patek Philippe Nautilus,Automatic,Steel,2021,Very good,7118/1A-001,"Original box, original papers","Italy, Eur (RM)",35.2 mm,"$57,904"
Patek Philippe Nautilus,Automatic,-,-,New,7118/1452G,"Original box, original papers","United States of America, New York, New York",35.2 mm,Price on request
Patek Philippe Nautilus,Automatic,Yellow gold,1985,Very good,3800/001,"Original box, original papers","United Kingdom, Billericay",37 mm,"$84,715"
Patek Philippe Nautilus,Automatic,Gold/Steel,-,New,5980/1AR-001,"Original box, original papers","UAE, Dubai",40.5 mm,"$128,426"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Platinum,-,Very good,5271/12P-010,"Original box, original papers","Czech Republic, Praha 1",-,"$924,255"
Patek Philippe,Automatic,White gold,2023,Unworn,6007G-001,"Original box, original papers","Germany, Düsseldorf",-,"$76,279"
Patek Philippe Annual Calendar Chronograph,Automatic,Platinum,2010,Very good,5960P,"Original box, original papers","United States of America, Florida, Boca Raton",40 mm,"$75,325"
Patek Philippe Calatrava,Automatic,White gold,2022,Unworn,5226G-001,"Original box, original papers","United Kingdom, London",40 mm,"$43,003"
Patek Philippe,Automatic,White gold,-,Unworn,5374G-001,"Original box, original papers","United States of America, New York, New York",42 mm,Price on request
Patek Philippe World Time Chronograph,Automatic,Steel,2023,New,5935A-001,"Original box, original papers","Italy, Roma",41 mm,"$69,041"
Patek Philippe Annual Calendar,Automatic,White gold,-,Very good,5035G,"Original box, original papers","Monaco, Monaco",37 mm,"$31,736"
Patek Philippe Calatrava,Manual winding,Yellow gold,2001,Very good,4905J,"Original box, original papers","Austria, Wien",-,"$11,024"
Patek Philippe Annual Calendar,Automatic,White gold,2014,Very good,5146G-001,"Original box, original papers","Germany, München",39 mm,"$34,498"
Patek Philippe Vintage,Automatic,Yellow gold,1946,Very good,130j,"Original papers, no original box","United States of America, New York, BROOKLYN",33 mm,"$190,450"
Patek Philippe Aquanaut,Quartz,Steel,2022,Unworn,5267/200A-010,"Original box, original papers","United States of America, Florida, Miami",38.8 mm,"$68,995"
Patek Philippe Aquanaut,Automatic,Steel,2002,Very good,5065A-001,"Original box, original papers","Monaco, Monaco",38 mm,"$55,121"
Patek Philippe World Time,Manual winding,Rose gold,2017,Very good,5230R-001,"Original box, original papers","The Netherlands, Amsterdam",38.5 mm,"$42,260"
Patek Philippe Annual Calendar,Automatic,Rose gold,2022,Unworn,5205R-001,"Original box, original papers","France, Paris",40 mm,Price on request
Patek Philippe Chronograph,Manual winding,Platinum,2020,Unworn,5170P-001,"Original box, original papers","United States of America, New York, New York",39.4 mm,"$129,500"
Patek Philippe Calatrava,Automatic,Rose gold,2020,Good,5227R-001,"Original box, original papers","Hong Kong, Hongkong",39 mm,"$30,867"
Patek Philippe Chronograph,Manual winding,Platinum,2009,Very good,5070P-001,"Original box, original papers","United States of America, New York, Hartsdale",42 mm,"$199,900"
Patek Philippe Golden Ellipse,Automatic,Yellow gold,1979,Very good,3861/1,"Original papers, no original box","United Kingdom, London",32.5 mm,"$16,292"
Patek Philippe Nautilus,Automatic,Rose gold,2023,Unworn,5990/1R-001,"Original box, original papers","United States of America, New York, New York",40.5 mm,"$264,995"
Patek Philippe Gondolo,Manual winding,White gold,-,Very good,5124G-001,"No original box, no original papers","Singapore, 207642",33.4 x 43 mm,"$22,984"
Patek Philippe Calatrava,Automatic,Yellow gold,2007,Good,5107J-001,"Original box, original papers","Germany, Leipzig",37 mm,"$21,713"
Patek Philippe Sky Moon Tourbillon,-,Rose gold,2023,New,6002R-001,"Original box, original papers","UAE, Dubai",44 mm,"$5,862,918"
Patek Philippe Perpetual Calendar,Automatic,White gold,2024,Unworn,5320G-011,"Original box, original papers","France, Paris",40 mm,Price on request
Patek Philippe Perpetual Calendar,Automatic,Yellow gold,2018,Very good,5327J-001,"Original box, original papers","Hong Kong, Hong Kong",39 mm,"$64,770"
Patek Philippe World Time,Automatic,Platinum,2017,Unworn,5131/1P-001,"Original box, original papers","United States of America, New York, New York",39.5 mm,"$175,000"
Patek Philippe Annual Calendar,Automatic,Yellow gold,-,Very good,5035J-001,"Original box, original papers","United States of America, New York, Hauppauge",37 mm,Price on request
Patek Philippe Calatrava,Manual winding,Rose gold,-,Very good,5123R-001,"No original box, no original papers","Hong Kong, Kwun Tong",38 mm,"$12,650"
Patek Philippe Aquanaut,Automatic,Steel,-,New,5968A-001,"Original box, original papers","UAE, Dubai",42.2 mm,"$133,730"
Patek Philippe Calatrava,Manual winding,Rose gold,-,New,7122/200R-001,"Original box, original papers","Hong Kong, Tsim Sha Tsui, Kowloon, Hong Kong",33 mm,"$21,804"
Patek Philippe Nautilus,-,-,-,Very good,-,"No original box, no original papers","United States of America, New York, New York",-,"$33,000"
Patek Philippe Perpetual Calendar Chronograph,-,Platinum,2018,Very good,5271/P,"Original box, original papers","United States of America, California, Newport Beach CA",41 mm,"$289,970"
Patek Philippe Gondolo,Manual winding,White gold,2015,Very good,5200G-001,"Original box, original papers","United Kingdom, London",32 mm,"$36,493"
Patek Philippe Twenty~4,Quartz,Steel,2002,Very good,4910/10A-001,"Original box, original papers","Italy, Sanremo (IM)",25 x 30 mm,"$9,966"
Patek Philippe Perpetual Calendar,Automatic,White gold,2024,Unworn,5320G-011,"Original box, original papers","United States of America, Florida, Miami",40 mm,Price on request
Patek Philippe Annual Calendar,-,Rose gold,-,Very good,5396R,"Original box, original papers","Germany, Frankfurt am Main",38 mm,"$43,429"
Patek Philippe,Manual winding,-,1949,Good,1431,"No original box, no original papers","Switzerland, Ascona",27 mm,"$8,900"
Patek Philippe Nautilus,Automatic,Steel,2022,Unworn,5726A-001,"Original box, original papers","United Kingdom, Canary Wharf",40.5 mm,"$82,109"
Patek Philippe Complications,Automatic,Rose gold,2001,Very good,5054R,"No original box, no original papers","United Kingdom, London",36 mm,"$27,305"
Patek Philippe Calatrava,Manual winding,Red gold,-,Good,5119R-001,"No original box, no original papers","Japan, Osaka-shi",36 mm,"$15,288"
Patek Philippe Aquanaut,Automatic,Steel,2011,Very good,5167/1A-001,"Original box, original papers","Germany, Weißenhorn",40 mm,"$67,926"
Patek Philippe Aquanaut,Quartz,Steel,2024,New,5267/200A-011,"Original box, original papers","Spain, Madrid",38.8 mm,Price on request
Patek Philippe Nautilus,Automatic,Steel,2024,Unworn,5726/1A-014,"Original box, original papers","France, Paris",40.5 mm,"$144,206"
Patek Philippe Aquanaut,Automatic,Rose gold,2013,Good,5167R-001,"Original papers, no original box","Lithuania, Lt11341",40 mm,"$68,000"
Patek Philippe Perpetual Calendar,Automatic,White gold,-,New,5327G-001,"Original box, original papers","UAE, Dubai",39 mm,"$85,152"
Patek Philippe Perpetual Calendar,Automatic,White gold,2022,New,5320G-001,"Original box, original papers","Switzerland, Geneva",40 mm,"$75,000"
Patek Philippe Annual Calendar,Automatic,Yellow gold,-,Very good,5036/1J,"No original box, no original papers","United States of America, Florida, Boca Raton",37 mm,"$42,500"
Patek Philippe Complications,Automatic,Yellow gold,-,Very good,5015J,"Original box, original papers","United States of America, Florida, Boca Raton",35 mm,"$29,995"
Patek Philippe Chronograph,Manual winding,Rose gold,-,Unworn,5070R-001,"Original box, original papers","Monaco, Monaco",42 mm,"$99,998"
Patek Philippe World Time Chronograph,Automatic,Steel,2023,New,5935A-001,"Original box, original papers","Switzerland, Zürich",41 mm,"$74,358"
Patek Philippe Grand Complications,Automatic,Rose gold,2023,New,5260/1455R,"Original box, original papers","United States of America, New York, New York",-,Price on request
Patek Philippe Aquanaut,Automatic,Steel,-,Good,330XXXX,"No original box, no original papers","United States of America, New York, New York",36 mm,"$29,995"
Patek Philippe,Manual winding,Yellow gold,1908,Very good,-,"No original box, no original papers","Germany, München",56.5 mm,"$7,739"
Patek Philippe Annual Calendar,Automatic,Rose gold,2022,Unworn,5205R-011,"Original box, original papers","United Kingdom, Canary Wharf",40 mm,"$61,256"
Patek Philippe Calatrava,Automatic,-,-,Very good,5298P,"Original box, original papers","Japan, gifushi",38 mm,"$67,393"
Patek Philippe Ellipse,Manual winding,White gold,1976,Very good,3577/1,"Original papers, no original box","Germany, Berlin","26,4 x 34 mm","$11,692"
Patek Philippe Annual Calendar Chronograph,-,-,-,Very good,5905R-001,"Original box, original papers","United States of America, Florida, North Miami Beach",42 mm,"$68,775"
Patek Philippe Twenty~4,Quartz,Rose gold,2007,Very good,4920R-010,"Original papers, no original box","Germany, Dresden",25 x 30 mm,"$14,309"
Patek Philippe Perpetual Calendar,Automatic,White gold,2019,Very good,5320G-001,"Original box, original papers","United States of America, New York, Hartsdale",40 mm,"$69,900"
Patek Philippe Nautilus,Automatic,Rose gold,2023,New,7118/1200R-010,"Original box, original papers","United States of America, New Jersey, Ridgefield Park",35.2 mm,"$128,000"
Patek Philippe Perpetual Calendar Chronograph,Automatic,Platinum,2023,New,5270P-014,"Original box, original papers","UAE, Dubai",41 mm,Price on request
Patek Philippe Annual Calendar,Automatic,White gold,2019,Very good,5396G-011,"Original box, original papers","Austria, Wien",38.5 mm,"$47,326"
Patek Philippe Nautilus,Automatic,Steel,2018,New,5990/1A,"Original box, original papers","Italy, Roma",40.5 mm,Price on request
Patek Philippe Annual Calendar,Automatic,Steel,2022,New,4947/1A-001,"Original box, original papers","United States of America, New York, New York",38 mm,"$65,500"
Patek Philippe Calatrava,Manual winding,Yellow gold,-,Very good,3520,"No original box, no original papers","United States of America, California, La Jolla",32 mm,"$13,790"
Patek Philippe Nautilus,Automatic,Steel,2008,Very good,5980/1A-001,"Original box, original papers","United Kingdom, London",40.5 mm,"$134,729"
Patek Philippe Calatrava,Automatic,White gold,2007,Very good,5296G-001,"Original box, original papers","Austria, Wien",38 mm,"$28,563"
Patek Philippe,Automatic,Rose gold,2020,Very good,5980/1R-001,"Original box, original papers","United States of America, Florida, Miami",40.5 mm,"$225,000"
Patek Philippe Twenty~4,Automatic,Rose gold,2021,New,7300/1200R-001,"Original box, original papers","United States of America, New York, New york",36 mm,"$44,850"
Patek Philippe Aquanaut,Quartz,Steel,2024,Unworn,5267/200A-011,"Original box, original papers","France, Paris",38.8 mm,"$59,575"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Platinum,-,New,5271/11P-010,"Original box, original papers","Hong Kong, Tsim Sha Tsui, Kowloon, Hong Kong",41 mm,"$969,101"
Patek Philippe Nautilus,Automatic,Steel,-,Unworn,7118/1200A-010,"Original box, original papers","United States of America, New York, NEW YORK",35.2 mm,"$75,500"
Patek Philippe Nautilus,Automatic,Steel,-,Good,3170XXXX,"No original box, no original papers","United States of America, New York, New York",39 mm,"$129,995"
Patek Philippe Golden Ellipse,Manual winding,White gold,-,Very good,3598/1G,"No original box, no original papers","Japan, 京都市",30 x 35.4 mm,"$11,439"
Patek Philippe Aquanaut,Automatic,Steel,2002,Very good,5066,"Original papers, no original box","Spain, Madrid",36 x 34 mm,"$47,994"
Patek Philippe Calatrava,Manual winding,Yellow gold,1940,Good,5196J-001,"No original box, no original papers","Germany, Düsseldorf",31 mm,"$11,024"
Patek Philippe Aquanaut,Automatic,Steel,2023,New,5164A-001,"Original box, original papers","United States of America, New York, New York",40.8 mm,"$85,888"
Patek Philippe Twenty~4,Automatic,Steel,2022,New,7300/1200A-010,"Original box, original papers","United States of America, New York, Forest Hills",36 mm,"$29,000"
Patek Philippe Annual Calendar,Automatic,Rose gold,-,New,5205R-010,"Original box, original papers","UAE, Dubai",40 mm,"$68,959"
Patek Philippe Chronograph,Manual winding,Platinum,2018,Very good,5170P-001,"Original box, original papers","Switzerland, Geneva",39.4 mm,"$120,000"
Patek Philippe Chronograph,Manual winding,Yellow gold,1925,Very good,Patek Philippe Chrono Pocket Watch,"Original box, original papers","Switzerland, Lugano",47.5 mm,"$24,673"
Patek Philippe Calatrava,Automatic,Rose gold,-,Very good,5524R-001,"Original box, original papers","Czech Republic, Praha 1",42 mm,"$46,658"
Patek Philippe Aquanaut,Automatic,Rose gold,2024,Unworn,5968R-001,"Original box, original papers","Spain, Madrid",42 mm,"$146,990"
Patek Philippe Twenty~4,Quartz,Steel,2018,Unworn,4910/10A-001,"Original box, original papers","Germany, Duisburg (München)",25 x 30 mm,"$15,579"
Patek Philippe Complications,-,-,2023,New,5935A,"Original box, original papers","Spain, Madrid",-,Price on request
Patek Philippe Chronograph,Automatic,Rose gold,2015,New,5975R-001,"Original box, original papers","Italy, Roma",40 mm,"$89,085"
Patek Philippe Aquanaut,Automatic,Steel,2021,Unworn,5167/1A-001,"Original box, original papers","United States of America, New York, New York",40 mm,"$77,500"
Patek Philippe Nautilus,Automatic,Yellow gold,1985,Very good,3800/001,"Original box, original papers","Germany, Köln",37 mm,"$70,143"
Patek Philippe Minute Repeater Perpetual Calendar,Automatic,Rose gold,2024,Unworn,5304/301R-001,"Original box, original papers","Hong Kong, HONG KONG",-,"$3,129,317"
Patek Philippe Perpetual Calendar Chronograph,Manual winding,Rose gold,2021,Unworn,5270/1R-001,"Original box, original papers","Switzerland, Geneva",41 mm,"$170,000"
Patek Philippe World Time Chronograph,Automatic,White gold,2017,Very good,5930G-001,"Original box, original papers","Italy, Torino",39.5 mm,Price on request
Patek Philippe,Automatic,Rose gold,-,Very good,7234R-001,"Original box, original papers","Japan, 京都市",37.5 x 45.2 mm,"$36,990"
Patek Philippe Gondolo,Manual winding,Rose gold,-,Very good,7041R-001,"No original box, no original papers","Hong Kong, Kwun Tong",30 x 33.8 mm,"$27,831"
Patek Philippe Annual Calendar Chronograph,Automatic,Platinum,2024,Unworn,5961P-001,"Original box, original papers","France, Paris",40.5 mm,"$192,089"
Patek Philippe Annual Calendar,Automatic,Rose gold,-,Very good,5396R-011,"Original box, original papers","China, HONG KONG",38 mm,"$42,032"
Patek Philippe Aquanaut,Automatic,White gold,2020,Unworn,5168G-001,"Original box, original papers","United States of America, New York, New York",42.2 mm,"$165,000"
Patek Philippe Calatrava,Manual winding,White gold,1960,Good,2568-1,"No original box, no original papers","United States of America, New York, New York",33 mm,"$9,250"
Patek Philippe Nautilus,Automatic,Steel,2008,Very good,5980/1A-001,"Original box, original papers","France, Paris",40.5 x 44 mm,"$105,677"
Patek Philippe Nautilus,Automatic,Rose gold,2016,Unworn,5980R-001,"Original box, original papers","United Kingdom, London",40.5 mm,"$121,209"
Patek Philippe,-,White gold,2002,-,5035G,"Original box, original papers","United States of America, New Hampshire, Nashua",36 mm,"$20,000"
Patek Philippe Celestial,Automatic,Rose gold,-,Unworn,6102R-001,"Original box, original papers","United Kingdom, London",44 mm,Price on request
Patek Philippe Gondolo,Automatic,Yellow gold,-,Very good,3485,"Original papers, no original box","United States of America, New York, Massapequa Park",30 mm,"$12,493"
